GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7G001,A7G002,A7G003,A7G004,A7G005,A7G006,A7G007,A7G008,A7G009,A7G010,A7G011,A7G012,A7G013,A7G014,A7G015,A7G016,A7G017,A7G018,A7G019,A7G020,A7G021,A7G022,A7G023,A7G024,A7G025,A7G026,A7G027,A7G028,A7G029,A7G030,A7G031,A7G032,A7G033,A7G034,A7G035,A7G036,A7G037,A7G038,A7G039,A7G040,A7G041,A7G042,A7G043,A7G044,A7G045,A7G046,A7G047,A7G048,A7G049,A7G050,A7G051,A7G052,A7G053,A7G054,A7G055,A7G056,A7G057,A7G058,A7G059,A7G060,A7G061,A7G062,A7G063,A7G064,A7G065,A7G066,A7G067,A7G068,A7G069,A7G070,A7G071,A7G072,A7G073,A7G074,A7G075,A7G076,A7G077,A7G078,A7G079,A7G080,A7G081,A7G082,A7G083,A7G084,A7G085,A7G086,A7G087,A7G088,A7G089,A7G090,A7G091,A7G092,A7G093,A7G094,A7G095,A7G096,A7G097,A7G098,A7G099,A7G100,A7G101,A7G102,A7G103,A7G104,A7G105,A7G106,A7G107,A7G108,A7G109,A7H001
"G4500010","1916","South Carolina","450","Abbeville","0010","Abbeville","48","10",0,0,0,0,0,0,0,0,0,5896,0,0,0,0,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4506,0,0,0,210,0,0,80,2013,0,0,0,0,0,0,0,652,0,0,0,0,0,0,1206,388,0,64,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17065
"G4500030","1916","South Carolina","450","Aiken","0030","Aiken","48","30",0,0,0,0,0,0,0,0,0,13117,0,0,0,0,5471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,339,64,0,0,102,0,0,68,1272,0,0,0,0,0,0,0,363,0,0,0,0,0,0,157,30,0,385,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21862
"G4500070","1916","South Carolina","450","Anderson","0070","Anderson","48","70",0,0,0,0,0,0,0,0,0,14275,0,0,0,0,11809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,0,0,0,691,0,0,1964,4002,0,0,0,0,0,0,0,977,0,0,0,0,0,0,1856,98,0,141,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36946
"G4500090","1916","South Carolina","450","Bamberg","0090","Bamberg","48","90",0,0,0,0,0,0,0,0,0,6777,0,0,0,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,476,0,0,0,0,0,0,2913,1341,0,0,0,0,0,0,0,439,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14041
"G4500110","1916","South Carolina","450","Barnwell","0110","Barnwell","48","110",0,0,0,0,0,0,0,0,0,18547,0,0,0,0,4270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,678,0,0,0,908,0,0,1756,840,0,0,0,0,0,0,0,501,0,0,0,0,0,0,82,51,0,111,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27922
"G4500130","1916","South Carolina","450","Beaufort","0130","Beaufort","48","130",0,0,0,0,0,0,0,0,0,10028,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,0,0,401,316,0,0,0,0,0,0,0,402,0,0,0,0,0,0,20,137,0,201,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13086
"G4500150","1916","South Carolina","450","Berkeley","0150","Berkeley","48","150",0,0,0,0,0,0,0,0,0,662,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3965,0,0,0,0,0,0,1793,861,0,0,0,0,0,0,0,2689,0,0,0,0,0,0,0,219,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11023
"G4500170","1916","South Carolina","450","Calhoun","0170","Calhoun","48","170",0,0,0,0,0,0,0,0,0,2601,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,3660,0,0,0,0,0,0,494,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,41,0,45,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9459
"G4500190","1916","South Carolina","450","Charleston","0190","Charleston","48","190",0,0,0,0,0,0,0,0,0,7558,0,0,0,0,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,0,0,0,0,11375,140,0,0,82,0,0,2524,2303,0,0,0,0,0,0,0,3433,0,0,0,0,0,0,1387,1883,0,4031,0,0,0,0,6701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44886
"G4500210","1916","South Carolina","450","Cherokee","0210","Cherokee","48","210",0,0,0,0,0,0,0,0,0,3208,0,0,0,0,5968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,156,0,0,300,1083,0,0,0,0,0,0,0,520,0,0,0,0,0,0,248,173,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12031
