GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BTV001,BTV002,BTV003,BTV004,BTV005,BTV006,BTV007,BTV008,BTV009,BTV010,BTV011,BTV012,BTV013,BTV014,BTV015,BTV016,BTV017,BTV018,BTV019,BTV020,BTV021,BTV022,BTV023,BTV024,BTV025,BTV026,BTV027,BTV028,BTV029,BTV030,BTV031,BTV032,BTV033,BTV034,BTV035,BTV036,BTV037,BTV038,BTV039,BTV040,BTV041,BTV042,BTV043,BTV044,BTV045,BTV046,BTV047,BTV048,BTV049,BTV050,BTV051,BTV052,BTV053,BTV054,BTV055,BTV056,BTV057,BTV058,BTV059,BTV060,BTV061,BTV062,BTV063,BTV064,BTV065,BTV066,BTV067,BTV068,BTV069,BTV070,BTV071,BTV072,BTV073,BTV074,BTW001
"G1900630","1936","Iowa","190","Emmet","0630","Emmet","31","630",0,0,415,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,213,340,0,0,0,0,0,0,761,0,0,0,0,0,696,0,0,0,0,1151,0,0,0,0,0,0,5599
"G1900650","1936","Iowa","190","Fayette","0650","Fayette","31","650",0,0,239,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,114,0,0,0,0,0,0,0,0,0,76,2807,0,0,0,0,751,471,0,0,0,0,0,0,0,2797,0,0,0,0,0,921,0,66,0,0,4397,0,0,0,45,0,0,14079
"G1900670","1936","Iowa","190","Floyd","0670","Floyd","31","670",0,0,334,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,274,0,0,0,93,0,0,0,0,0,0,0,0,0,0,1089,0,0,0,0,0,81,0,0,0,0,0,0,0,2254,0,0,0,0,0,0,0,86,0,0,1643,0,0,0,0,0,0,6741
"G1900690","1936","Iowa","190","Franklin","0690","Franklin","31","690",0,0,510,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,650,0,0,449,92,0,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,1019,244,0,0,0,0,0,0,2385,0,0,0,0,0,0,0,0,0,194,623,0,0,0,0,0,0,7487
"G1900710","1936","Iowa","190","Fremont","0710","Fremont","31","710",0,0,339,0,0,0,0,0,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,196,0,0,76,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,144,0,0,0,0,2052,0,0,0,0,0,307,0,0,0,0,682,0,0,0,0,0,0,4894
"G1900730","1936","Iowa","190","Greene","0730","Greene","31","730",0,0,120,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,112,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,444,100,0,0,0,0,0,0,2009,0,0,0,0,0,608,0,0,0,0,1360,0,0,0,0,0,0,6235
"G1900750","1936","Iowa","190","Grundy","0750","Grundy","31","750",0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,175,0,0,222,0,0,0,0,1156,0,0,0,0,0,1045,111,0,778,295,368,0,0,0,0,0,0,6343
"G1900770","1936","Iowa","190","Guthrie","0770","Guthrie","31","770",0,0,63,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,1268,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,455,35,0,0,0,0,0,0,2899,0,0,0,0,0,319,0,0,0,0,1124,0,0,0,3,0,0,6417
"G1900790","1936","Iowa","190","Hamilton","0790","Hamilton","31","790",0,0,241,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,2224,432,0,0,379,0,0,0,0,1279,0,0,0,0,0,325,0,0,0,0,808,0,0,0,403,0,0,8609
"G1900810","1936","Iowa","190","Hancock","0810","Hancock","31","810",0,0,146,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,708,585,0,0,0,0,0,0,0,2218,0,0,0,0,0,84,250,0,497,0,1784,0,0,0,223,0,0,8209
"G1900830","1936","Iowa","190","Hardin","0830","Hardin","31","830",0,0,542,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,624,0,0,1036,687,0,0,0,0,0,573,0,0,0,1113,0,0,0,0,0,872,1635,0,0,331,0,0,0,0,1723,0,0,0,0,0,301,0,0,0,0,689,0,0,0,0,0,0,11513
"G1900850","1936","Iowa","190","Harrison","0850","Harrison","31","850",0,0,54,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1311,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,0,0,341,0,0,0,0,2108,0,0,0,0,0,515,0,0,0,0,2245,0,0,0,0,0,0,7875
"G1900870","1936","Iowa","190","Henry","0870","Henry","31","870",0,0,1298,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,151,0,0,0,0,0,0,0,0,0,253,0,0,0,0,12,580,0,0,0,0,0,0,0,0,0,0,0,0,3087,0,0,0,0,0,763,81,60,0,0,481,0,0,0,98,0,0,7459
